,AVG_GMD,NVOX,PROP_VOX_ABV10%
X185,0.5522531571657084,346,0.9739884393063584
X186,0.47471853151063254,158,0.9936708860759493
X187,0.4805975284787916,124,1.0
X190,0.5118944777767117,2582,0.6673121611154144
X191,0.5169225940671949,2512,0.7177547770700637
X192,0.5413020578042794,876,0.8493150684931506
X193,0.5437498665467868,893,0.883538633818589
X194,0.5096823424339868,1305,0.9555555555555556
X195,0.5072206252088693,1502,0.9713715046604527
X196,0.45912918426498844,626,0.9760383386581469
X197,0.43774981054705975,504,0.9761904761904762
X198,0.47170993621164764,1818,0.7744774477447744
X199,0.46487892756681004,1893,0.7939778129952456
X200,0.5594773247106267,1132,0.9893992932862191
X201,0.5496062566383083,1109,0.9972948602344455
X202,0.5379655535299597,1283,0.34840218238503506
X203,0.5349856818197515,1279,0.3971853010164191
X204,0.5090281649451076,588,0.9897959183673469
X205,0.509341088197343,619,1.0
X206,0.5318939129291977,181,1.0
X207,0.5413067267777828,208,1.0
