,X4,X11,X23,X30,X31,X32,X35,X36,X37,X38,X39,X40,X41,X44,X45,X46,X47,X48,X49,X50,X51,X52,X55,X56,X57,X58,X59,X60,X61,X62,X64,X69,X71,X72,X73,X75,X76,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X128,X129,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207
orig,0.23636363636363636,1.0,0.5740740740740741,0.5230769230769231,0.5606060606060606,0.15873015873015872,0.9777373920945025,0.9045553145336226,0.9016064257028112,0.9844363636363637,0.9831272727272727,1.0,1.0,0.8662029765911301,0.8959712285266098,0.984251968503937,0.5286624203821656,0.7066666666666667,0.3870967741935484,0.7777777777777778,0.9759398496240601,0.974496644295302,0.8238341968911918,1.0,0.8561872909698997,0.9242902208201893,0.8670465337132004,0.8357798165137614,0.3888888888888889,0.45254237288135596,0.0,0.0,1.0,1.0,1.0,0.4,0.48,0.6760797342192691,0.702013422818792,0.8293918918918919,0.898360655737705,0.44224422442244227,0.5864661654135338,0.9785008715862871,0.9338950097213221,0.8341013824884793,0.8004201680672269,0.854632587859425,0.8837209302325582,0.4882758620689655,0.7656765676567657,0.8958333333333334,0.6639676113360324,0.8884892086330936,0.8767123287671232,0.7063621533442088,0.8973063973063973,0.6373815676141258,0.6226086956521739,0.7994350282485876,0.8140243902439024,0.8139269406392694,0.7389473684210527,0.8647260273972602,0.851279000594884,0.42699724517906334,0.5144995322731525,0.38271604938271603,0.6888297872340425,0.5491071428571429,0.6692913385826772,0.5944055944055944,0.7131782945736435,0.8318531675547661,0.938390002906132,0.9574468085106383,0.9163265306122449,0.6928895612708018,0.7276368491321762,0.6890756302521008,0.859375,0.7694369973190348,0.8976608187134503,0.7139588100686499,0.8272458045409674,0.9487978628673197,0.9222367846221057,0.6650943396226415,0.8206106870229007,0.35172413793103446,0.5082508250825083,0.9181380417335474,0.9323583180987203,0.7990196078431373,0.9175257731958762,0.8717948717948718,0.9023255813953488,0.8441019561351512,0.9248989023685731,0.3863013698630137,0.616751269035533,0.6586666666666666,0.5953757225433526,0.8226299694189603,0.9148936170212766,0.8685534591194969,0.8738938053097345,0.8219512195121951,0.7726218097447796,0.6143344709897611,0.5580110497237569,0.8484703632887189,0.937283950617284,0.8372781065088757,0.8497109826589595,0.11392405063291139,0.25,0.8756777691711851,0.8905254777070064,0.8881278538812786,0.9294512877939529,0.8574712643678161,0.8894806924101198,0.8370607028753994,0.9047619047619048,0.9592959295929593,0.8711040676175383,0.8401060070671378,0.7980162308385933,0.9072486360093531,0.8334636434714621,0.7619047619047619,0.9111470113085622,0.5082872928176796,0.7932692307692307
isla_r2,0.5636363636363636,1.0,0.6851851851851852,0.46153846153846156,0.5075757575757576,0.1111111111111111,0.9568378009995456,0.9631236442516269,0.9558232931726908,0.9837090909090909,0.9829818181818182,1.0,1.0,0.836212699124972,0.8671614951983778,0.9763779527559056,0.4394904458598726,0.6688888888888889,0.2903225806451613,0.6666666666666666,0.968421052631579,0.9731543624161074,0.07253886010362694,0.15217391304347827,0.45484949832775917,0.4952681388012618,0.6552706552706553,0.6385321100917432,0.1857638888888889,0.16271186440677965,0.0,0.0,1.0,1.0,1.0,0.21818181818181817,0.5,0.6993355481727574,0.7771812080536913,0.8209459459459459,0.8475409836065574,0.49174917491749176,0.6578947368421053,0.9174898314933179,0.9209332469215813,0.6451612903225806,0.6302521008403361,0.8722044728434505,0.8770764119601329,0.4289655172413793,0.5594059405940595,0.9201388888888888,0.7368421052631579,0.9064748201438849,0.9075342465753424,0.7455138662316476,0.8013468013468014,0.6330749354005168,0.6052173913043478,0.807909604519774,0.850609756097561,0.6860730593607306,0.7242105263157895,0.8458904109589042,0.8548483045806068,0.40404040404040403,0.3928905519176801,0.38271604938271603,0.6569148936170213,0.5565476190476191,0.6787401574803149,0.6048951048951049,0.748062015503876,0.80550621669627,0.8834641092705608,0.9720744680851063,0.9744897959183674,0.7291981845688351,0.7236315086782377,0.5798319327731093,0.7109375,0.7131367292225201,0.7719298245614035,0.6750572082379863,0.8193484698914116,0.9309884238646483,0.9239842726081258,0.5141509433962265,0.7041984732824428,0.28448275862068967,0.5082508250825083,0.9069020866773676,0.8756855575868373,0.5882352941176471,0.8505154639175257,0.8553113553113553,0.813953488372093,0.8085358624777712,0.9000577700751011,0.4520547945205479,0.6294416243654822,0.5866666666666667,0.5924855491329479,0.7706422018348624,0.8534278959810875,0.6993710691823899,0.7798672566371682,0.7439024390243902,0.8097447795823666,0.6177474402730375,0.5524861878453039,0.7839388145315488,0.8987654320987655,0.8609467455621301,0.8554913294797688,0.1962025316455696,0.3629032258064516,0.8408210689388071,0.8375796178343949,0.8504566210045662,0.8701007838745801,0.8045977011494253,0.8848202396804261,0.7731629392971247,0.8253968253968254,0.8971397139713971,0.8335974643423137,0.8109540636042403,0.7709648331830478,0.9438815276695246,0.8623924941360438,0.673469387755102,0.7205169628432956,0.5414364640883977,0.7451923076923077
isla_r3,0.6363636363636364,1.0,0.7962962962962963,0.7692307692307693,0.6287878787878788,0.10317460317460317,0.9618355293048614,0.9891540130151844,0.9919678714859438,0.9872,0.9847272727272727,1.0,1.0,0.8813476927679306,0.9125377816887936,0.984251968503937,0.505307855626327,0.7088888888888889,0.3870967741935484,0.7222222222222222,0.9864661654135338,0.9892617449664429,0.08808290155440414,0.14673913043478262,0.5702341137123745,0.5788643533123028,0.7056030389363722,0.7036697247706422,0.22569444444444445,0.21694915254237288,0.0,0.0,1.0,1.0,1.0,0.36363636363636365,0.56,0.7691029900332226,0.8416107382550335,0.8800675675675675,0.9131147540983606,0.5874587458745875,0.7293233082706767,0.957582800697269,0.9727802981205443,0.8133640552995391,0.7521008403361344,0.9217252396166135,0.9335548172757475,0.503448275862069,0.6584158415841584,0.9791666666666666,0.8097165991902834,0.9424460431654677,0.9486301369863014,0.8091353996737357,0.8198653198653199,0.6726959517657192,0.6869565217391305,0.8615819209039548,0.9359756097560976,0.7271689497716894,0.7757894736842105,0.8738584474885844,0.8893515764425937,0.5105601469237833,0.4920486435921422,0.5030864197530864,0.7553191489361702,0.6577380952380952,0.7448818897637796,0.6608391608391608,0.8255813953488372,0.8735938425103612,0.9311246730601569,0.988031914893617,0.9928571428571429,0.8093797276853253,0.8090787716955942,0.6470588235294118,0.8203125,0.8176943699731903,0.868421052631579,0.7604881769641495,0.8756169792694966,0.9670525378450578,0.9707295762341633,0.6721698113207547,0.8206106870229007,0.35344827586206895,0.5478547854785478,0.956661316211878,0.9122486288848263,0.6813725490196079,0.8969072164948454,0.8882783882783882,0.8682170542635659,0.8749259039715471,0.9468515309069901,0.5013698630136987,0.6802030456852792,0.7333333333333333,0.638728323699422,0.8256880733944955,0.933806146572104,0.8012578616352202,0.8805309734513275,0.8512195121951219,0.91415313225058,0.7508532423208191,0.643646408839779,0.8513384321223709,0.9476543209876543,0.9142011834319527,0.9364161849710982,0.2911392405063291,0.4596774193548387,0.8915569326103796,0.8829617834394905,0.9075342465753424,0.9115341545352743,0.8681992337164751,0.9580559254327563,0.853035143769968,0.9206349206349206,0.9416941694169417,0.8969889064976229,0.8816254416961131,0.8476104598737602,0.9781761496492596,0.8819390148553558,0.7346938775510204,0.7689822294022617,0.6298342541436464,0.8942307692307693
isla_r4,0.7454545454545455,1.0,0.8333333333333334,0.8461538461538461,0.696969696969697,0.0873015873015873,0.9645615629259428,0.9913232104121475,1.0,0.9899636363636364,0.9856,1.0,1.0,0.9094308578266398,0.9335042277231511,0.9921259842519685,0.5498938428874734,0.7488888888888889,0.41935483870967744,0.8333333333333334,0.9984962406015038,0.9932885906040269,0.07253886010362694,0.15217391304347827,0.6588628762541806,0.6230283911671924,0.7758784425451092,0.7724770642201835,0.2934027777777778,0.26610169491525426,0.0,0.0,1.0,1.0,1.0,0.5818181818181818,0.62,0.8289036544850499,0.8778523489932886,0.9239864864864865,0.9393442622950819,0.6633663366336634,0.7631578947368421,0.9680418361417781,0.9870382372002592,0.9423963133640553,0.8466386554621849,0.9680511182108626,0.9651162790697675,0.5779310344827586,0.740924092409241,0.9930555555555556,0.8461538461538461,0.960431654676259,0.9794520547945206,0.8548123980424144,0.8282828282828283,0.7045650301464255,0.7486956521739131,0.8983050847457628,0.9603658536585366,0.7728310502283106,0.8189473684210526,0.8984018264840182,0.917906008328376,0.5849403122130394,0.5724976613657624,0.5679012345679012,0.8138297872340425,0.7589285714285714,0.8125984251968504,0.7622377622377622,0.9031007751937985,0.9177027827116637,0.9540831153734379,0.9973404255319149,0.996938775510204,0.8714069591527988,0.855807743658211,0.6302521008403361,0.9375,0.8632707774798928,0.9239766081871345,0.8237986270022883,0.8914116485686081,0.9835262689225289,0.9938837920489296,0.8018867924528302,0.8759541984732825,0.38620689655172413,0.5742574257425742,0.9759229534510433,0.943327239488117,0.7450980392156863,0.9226804123711341,0.9194139194139194,0.9085271317829458,0.919976289270895,0.9630271519352975,0.5397260273972603,0.7030456852791879,0.8186666666666667,0.6820809248554913,0.8532110091743119,0.9763593380614657,0.8723270440251573,0.9303097345132744,0.9390243902439024,0.9535962877030162,0.863481228668942,0.7320441988950276,0.888623326959847,0.974320987654321,0.9615384615384616,0.976878612716763,0.4050632911392405,0.5483870967741935,0.9229279628195197,0.9056528662420382,0.9509132420091324,0.9361702127659575,0.8911877394636015,0.9900133155792277,0.9089456869009584,0.9484126984126984,0.9658965896589659,0.9350237717908082,0.931095406360424,0.9044183949504058,0.9937646141855028,0.9022673964034402,0.7976190476190477,0.8384491114701131,0.7679558011049724,0.9759615384615384
ahlgren_r2,0.5272727272727272,1.0,1.0,1.0,0.9848484848484849,0.31746031746031744,0.9509313948205361,0.9978308026030369,1.0,0.9905454545454545,0.9847272727272727,1.0,1.0,0.9370278961932541,0.9579905880552474,1.0,0.9341825902335457,0.8644444444444445,0.7096774193548387,0.7222222222222222,1.0,0.9906040268456375,0.09326424870466321,0.21739130434782608,0.6755852842809364,0.6892744479495269,0.8309591642924976,0.8091743119266055,0.1545138888888889,0.14745762711864407,0.0,0.0,1.0,1.0,1.0,0.7636363636363637,1.0,0.4601328903654485,0.7906040268456376,1.0,0.9934426229508196,0.9603960396039604,0.9323308270676691,0.9953515398024404,0.9902786779001944,0.5253456221198156,0.8508403361344538,0.987220447284345,1.0,0.33655172413793105,0.7805280528052805,1.0,0.8785425101214575,0.9712230215827338,1.0,0.8629690048939641,0.9040404040404041,0.8682170542635659,0.768695652173913,0.8983050847457628,0.9451219512195121,0.860730593607306,0.868421052631579,0.9514840182648402,0.966686496133254,0.7079889807162535,0.6800748362956034,0.7654320987654321,0.898936170212766,0.7276785714285714,0.7653543307086614,0.7937062937062938,0.9108527131782945,0.970396684428656,0.998546934030805,0.9986702127659575,0.9734693877551021,0.962178517397882,0.9078771695594126,0.7226890756302521,0.9140625,0.8820375335120644,0.9707602339181286,0.6948893974065599,0.8864758144126358,0.9951024042742653,0.9860200961118393,0.4716981132075472,0.8568702290076335,0.44310344827586207,0.6320132013201321,0.9983948635634029,0.9981718464351006,0.9411764705882353,0.9896907216494846,0.9542124542124543,0.9813953488372092,0.950207468879668,0.9936452917388793,0.6328767123287671,0.6928934010152284,0.9866666666666667,0.7687861271676301,0.9296636085626911,0.9763593380614657,0.9666666666666667,0.9397123893805309,0.9951219512195122,1.0,0.9488054607508533,0.7900552486187845,0.9593690248565966,0.9896296296296296,0.9260355029585798,0.9248554913294798,0.5126582278481012,0.7338709677419355,0.9585592563903951,0.9661624203821656,0.9646118721461188,0.9720044792833147,0.9509578544061302,0.9533954727030626,0.7396166134185304,0.9007936507936508,1.0,0.9968304278922345,0.9196113074204947,0.8331830477908025,0.8947778643803586,0.8733385457388585,0.9387755102040817,0.9870759289176091,0.8342541436464088,1.0
ahlgren_r3,0.7272727272727273,1.0,1.0,1.0,1.0,0.9285714285714286,0.9559291231258519,1.0,1.0,0.9943272727272727,0.9863272727272727,1.0,1.0,0.9712063420836138,0.9825534682633814,1.0,0.9681528662420382,0.9777777777777777,0.9354838709677419,1.0,1.0,1.0,0.15544041450777202,0.30434782608695654,0.8963210702341137,0.8438485804416404,0.9373219373219374,0.9100917431192661,0.171875,0.1847457627118644,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,0.8654485049833887,0.9919463087248322,1.0,1.0,0.9966996699669967,1.0,1.0,1.0,0.9723502304147466,1.0,1.0,1.0,0.6124137931034482,0.9884488448844885,1.0,0.9959514170040485,1.0,1.0,0.9755301794453507,0.968013468013468,0.9181739879414298,0.8617391304347826,0.9519774011299436,0.9786585365853658,0.9223744292237442,0.9726315789473684,0.9982876712328768,1.0,0.9072543617998163,0.8578110383536015,0.941358024691358,0.9973404255319149,0.8586309523809523,0.889763779527559,0.986013986013986,0.9961240310077519,0.9988158673771462,1.0,1.0,1.0,0.9939485627836612,0.9626168224299065,0.9663865546218487,1.0,0.967828418230563,1.0,0.9672006102212052,0.9575518262586377,1.0,1.0,0.7594339622641509,0.9961832061068703,0.5293103448275862,0.7128712871287128,1.0,1.0,1.0,1.0,0.9945054945054945,1.0,0.995850622406639,1.0,0.726027397260274,0.8629441624365483,1.0,0.9450867052023122,1.0,1.0,0.9993710691823899,1.0,1.0,1.0,1.0,0.9558011049723757,0.9995219885277247,1.0,1.0,0.9942196531791907,0.6772151898734177,0.8870967741935484,0.9980635166537568,0.9940286624203821,1.0,0.9977603583426652,1.0,0.9993342210386151,0.8466453674121406,0.996031746031746,1.0,1.0,0.9867491166077739,0.9531109107303878,0.9633671083398285,0.9523064894448788,1.0,1.0,1.0,1.0
ahlgren_r4,0.8,1.0,1.0,1.0,1.0,1.0,0.9532030895047705,1.0,1.0,0.9962181818181818,0.9902545454545455,1.0,1.0,0.9935307755590457,0.9945288288632972,1.0,0.9957537154989384,0.9977777777777778,1.0,1.0,1.0,1.0,0.38860103626943004,0.42934782608695654,0.9816053511705686,0.9842271293375394,0.9886039886039886,0.9779816513761468,0.3368055555555556,0.2864406779661017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.9949494949494949,0.9629629629629629,0.9391304347826087,1.0,1.0,0.9748858447488584,1.0,1.0,1.0,0.9595959595959596,0.9925163704396632,1.0,1.0,0.9523809523809523,0.9543307086614173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9622641509433962,1.0,0.6741379310344827,0.8729372937293729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8082191780821918,0.9822335025380711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9113924050632911,0.9919354838709677,1.0,1.0,1.0,1.0,1.0,1.0,0.9217252396166135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
basil,0.4,1.0,0.9629629629629629,0.8,0.09848484848484848,0.18253968253968253,1.0,0.9154013015184381,0.8192771084337349,0.998109090909091,0.9989818181818182,1.0,1.0,0.9254730386657692,0.9263113593755978,0.8740157480314961,0.33121019108280253,0.39111111111111113,0.3225806451612903,0.5,0.9458646616541353,0.9060402684563759,0.8963730569948186,0.7554347826086957,0.9331103678929766,0.944794952681388,0.9021842355175689,0.8412844036697248,0.7291666666666666,0.7847457627118644,1.0,0.0,1.0,1.0,1.0,0.5636363636363636,0.68,0.8970099667774086,0.934228187919463,0.6554054054054054,0.5934426229508196,0.9702970297029703,0.8571428571428571,0.9877977919814062,0.9837977965003241,0.9585253456221198,0.957983193277311,0.7364217252396166,0.7740863787375415,0.9972413793103448,0.9636963696369637,0.6666666666666666,0.5546558704453441,0.737410071942446,0.7945205479452054,0.9429037520391517,0.9528619528619529,0.9259259259259259,0.948695652173913,0.6892655367231638,0.7652439024390244,0.9075342465753424,0.9652631578947368,0.9394977168949772,0.9625223081499108,0.8888888888888888,0.9794200187090739,0.7623456790123457,0.773936170212766,0.7976190476190477,0.7748031496062993,0.8986013986013986,0.9612403100775194,0.9271758436944938,0.9343214181923859,0.9680851063829787,0.9510204081632653,0.6959152798789713,0.8037383177570093,0.5462184873949579,0.5703125,0.6916890080428955,0.6111111111111112,0.9305873379099924,0.9684106614017769,0.9541406945681211,0.9462647444298821,0.7594339622641509,0.8320610687022901,0.9482758620689655,0.9801980198019802,0.985553772070626,0.9835466179159049,0.9117647058823529,0.8917525773195877,0.9468864468864469,0.9503875968992248,0.944872554831061,0.975736568457539,0.7041095890410959,0.7258883248730964,0.8986666666666666,0.7138728323699421,0.8593272171253823,0.817966903073286,0.769182389937107,0.7970132743362832,0.8439024390243902,0.8793503480278422,0.9112627986348123,0.8784530386740331,0.6749521988527725,0.6795061728395062,0.9704142011834319,0.9913294797687862,0.8544303797468354,0.9112903225806451,0.8373353989155693,0.8550955414012739,0.6860730593607306,0.7558790593505039,0.9839080459770115,0.9387483355525965,0.950479233226837,0.9226190476190477,0.9273927392739274,0.9566825145272055,0.9257950530035336,0.9612263300270514,0.926734216679657,0.965598123534011,0.9948979591836735,0.9741518578352181,0.9613259668508287,0.9711538461538461
